field,fieldLabel,paperCount
http://orkg.org/orkg/resource/R53,Bacteriology,4
http://orkg.org/orkg/resource/R339,Public Administration,4
http://orkg.org/orkg/resource/R137635,"Optics, Quantum Optics and Physics of Atoms, Molecules and Plasmas",4
http://orkg.org/orkg/resource/R303,Behavioral Economics,4
http://orkg.org/orkg/resource/R373,Science and Technology Studies,4
http://orkg.org/orkg/resource/R55,Microbial Physiology,3
http://orkg.org/orkg/resource/R30,Terrestrial and Aquatic Ecology,3
http://orkg.org/orkg/resource/R258,Polymer and Organic Materials,3
http://orkg.org/orkg/resource/R367,Social Psychology and Interaction,3
http://orkg.org/orkg/resource/R241,Electrical and Electronics,3
http://orkg.org/orkg/resource/R307,Growth and Development,3
http://orkg.org/orkg/resource/R102,Plant Pathology,3
http://orkg.org/orkg/resource/R239,Computer Engineering,3
http://orkg.org/orkg/resource/R137654,Mechanical Process Engineering,3
http://orkg.org/orkg/resource/R313,Geography,3
http://orkg.org/orkg/resource/R61,Computational Neuroscience,3
http://orkg.org/orkg/resource/R334,Comparative Politics,3
http://orkg.org/orkg/resource/R59,Behavioral Neurobiology,3
http://orkg.org/orkg/resource/R184,Optics,3
http://orkg.org/orkg/resource/R96,Nutritional Epidemiology,3
http://orkg.org/orkg/resource/R282,Agricultural and Resource Economics,3
http://orkg.org/orkg/resource/R266,Electro-Mechanical Systems,3
http://orkg.org/orkg/resource/R54,Environmental Microbiology and Microbial Ecology,3
http://orkg.org/orkg/resource/R36,Computational Biology,3
http://orkg.org/orkg/resource/R85,Food Chemistry,3
http://orkg.org/orkg/resource/R24,Ecology and Evolutionary Biology,2
http://orkg.org/orkg/resource/R310,Labor Economics,2
http://orkg.org/orkg/resource/R52,Microbiology,2
http://orkg.org/orkg/resource/R68,Pharmacology,2
http://orkg.org/orkg/resource/R71,Cellular and Molecular Physiology,2
http://orkg.org/orkg/resource/R401,German Literature,2
http://orkg.org/orkg/resource/R227,Environmental Engineering,2
http://orkg.org/orkg/resource/R276,Systems Engineering,2
http://orkg.org/orkg/resource/R207,Bioelectrical and neuroengineering,2
http://orkg.org/orkg/resource/R63,Molecular and Cellular Neuroscience,2
http://orkg.org/orkg/resource/R93,Human and Clinical Nutrition,2
http://orkg.org/orkg/resource/R159,Analysis,2
http://orkg.org/orkg/resource/R112120,Digital Libraries,2
http://orkg.org/orkg/resource/R308,Industrial Organization,2
http://orkg.org/orkg/resource/R114012,Computational Physics,2
http://orkg.org/orkg/resource/R293,Health Communication,2
http://orkg.org/orkg/resource/R168,Atmospheric Sciences,2
http://orkg.org/orkg/resource/R66,Environmental Health,2
http://orkg.org/orkg/resource/R138,Programming Languages/Compilers,2
http://orkg.org/orkg/resource/R386,Classical Literature and Philology,2
http://orkg.org/orkg/resource/R352,Personality and Social Contexts,2
http://orkg.org/orkg/resource/R101,Plant Biology,2
http://orkg.org/orkg/resource/R147,Geochemistry,2
http://orkg.org/orkg/resource/R38,Genomics,2
http://orkg.org/orkg/resource/R112123,Human Computer Interfaces,2
http://orkg.org/orkg/resource/R13,"Biochemistry, Biophysics, and Structural Biology",2
http://orkg.org/orkg/resource/R320,Applied Linguistics,1
http://orkg.org/orkg/resource/R445,Ethics and Political Philosophy,1
http://orkg.org/orkg/resource/R216,Catalysis and Reaction Engineering,1
http://orkg.org/orkg/resource/R261,Mechanical Engineering,1
http://orkg.org/orkg/resource/R412,Asian,1
http://orkg.org/orkg/resource/R208,Bioimaging and biomedical optics,1
http://orkg.org/orkg/resource/R456,Ethics,1
http://orkg.org/orkg/resource/R98,Agronomy and Crop Sciences,1
http://orkg.org/orkg/resource/R137713,Organic Molecular Chemistry - Synthesis and Characterisation,1
http://orkg.org/orkg/resource/R362,Politics and Social Change,1
http://orkg.org/orkg/resource/R108,Applied Mathematics,1
http://orkg.org/orkg/resource/R229,Structural Engineering,1
http://orkg.org/orkg/resource/R269,Manufacturing,1
http://orkg.org/orkg/resource/R112127,Multiagent Systems,1
http://orkg.org/orkg/resource/R271,Tribology,1
http://orkg.org/orkg/resource/R62,Developmental Neuroscience,1
http://orkg.org/orkg/resource/R136162,Clinical Infectiology and Tropical Medicine,1
http://orkg.org/orkg/resource/R47,Biology/Integrated Biology/ Integrated Biomedical Sciences,1
http://orkg.org/orkg/resource/R379,American Popular Culture,1
http://orkg.org/orkg/resource/R212,"Molecular, cellular, and tissue engineering",1
http://orkg.org/orkg/resource/R382,Ancient History (Greek and Roman through Late Antiquity),1
http://orkg.org/orkg/resource/R84,Food Microbiology,1
http://orkg.org/orkg/resource/R136138,Medical Informatics and Medical Bioinformatics,1
http://orkg.org/orkg/resource/R46,Parasitology,1
http://orkg.org/orkg/resource/R453,Religion,1
http://orkg.org/orkg/resource/R314,Physical and Environmental Geography,1
http://orkg.org/orkg/resource/R170,Fresh Water Studies,1
http://orkg.org/orkg/resource/R49,Exercise Physiology,1
http://orkg.org/orkg/resource/R43,Immunopathology,1
http://orkg.org/orkg/resource/R22,Developmental Biology,1
http://orkg.org/orkg/resource/R70,Physiology,1
http://orkg.org/orkg/resource/R136088,European Literature,1
http://orkg.org/orkg/resource/R199,Aerodynamics and Fluid Mechanics,1
http://orkg.org/orkg/resource/R223,Transport Phenomena,1
http://orkg.org/orkg/resource/R350,Health Psychology,1
http://orkg.org/orkg/resource/R389,English Language and Literature,1
http://orkg.org/orkg/resource/R263,Applied Mechanics,1
http://orkg.org/orkg/resource/R81,Zoology,1
http://orkg.org/orkg/resource/R75,Systems and Integrative Physiology,1
http://orkg.org/orkg/resource/R368,Sociology of Culture,1
http://orkg.org/orkg/resource/R136135,"Public Health, Health Services Research, Social Medicine",1
http://orkg.org/orkg/resource/R76,Animal Sciences,1
http://orkg.org/orkg/resource/R451,Philosophy of Mind,1
http://orkg.org/orkg/resource/R178,"Cosmology, Relativity, and Gravity",1
http://orkg.org/orkg/resource/R160,Discrete Mathematics and Combinatorics,1
http://orkg.org/orkg/resource/R290,Communication Technology and New Media,1
http://orkg.org/orkg/resource/R198,Systems Engineering and Multidisciplinary Design Optimization,1
http://orkg.org/orkg/resource/R265,Computer-Aided Engineering and Design,1
http://orkg.org/orkg/resource/R250,Engineering Mechanics,1
http://orkg.org/orkg/resource/R465,Theatre and Performance Studies,1
http://orkg.org/orkg/resource/R295,Interpersonal/Small Group Communication,1
http://orkg.org/orkg/resource/R226,Construction Engineering/management,1
http://orkg.org/orkg/resource/R377,American Film Studies,1
http://orkg.org/orkg/resource/R388,Comparative Literature,1
